"故障编号","故障描述_中文","故障描述_英文","故障等级","偏航等级","延时时间","更改说明及日期","故障代码"
"1033","09133_SC_齿轮箱蝶阀关闭","09133_SC_GearboxElectricalOilStorageValueOff","6","0.0","2.0","新增20230718","09133"
"1034","09134_SC_齿轮箱电动存油液位大于10","09134_SC_GearboxElectricalOilStorageOilLevelOver10","6","0.0","2.0","新增20230718","09134"
"1035","09135_SC_齿轮箱电动存油开反馈丢失","09135_SC_GearboxElectricalOilStorageValueOnFeedbackLose","6","0.0","2.0","新增20230718","09135"
"1101","10001_SC_液压油位低","10001_SC_HydraulicOilLevelLow","6","0.0","10.0","","10001"
"1102","10002_SC_液压油位高","10002_SC_HydraulicOilLevelHigh","6","0.0","10.0","","10002"
"1103","10003_SC_液压主泵油温超温","10003_SC_HydraulicOilOverTemperature","6","0.0","10.0","","10003"
"1104","10004_SC_液压主泵油温低","10004_SC_HydraulicOilLowTemperature","6","0.0","15.0","","10004"
"1107","10007_SC_液压泵出口压力高","10007_SC_HydraulicPumpOutletPressureHigh","0","0.0","1.0","","10007"
"1108","10008_SC_液压泵出口压力低","10008_SC_HydraulicPumpOutletPressureLow","0","0.0","15.0","","10008"
"1109","10009_SC_液压偏航制动出油口压力高1","10009_SC_HydraulicYawBrakeOutletOilPressureHigh1","6","0.0","5.0","","10009"
"1110","10010_SC_液压偏航制动出油口压力低1","10010_SC_HydraulicYawBrakeOutletOilPressureLow1","6","0.0","20.0","","10010"
"1111","10011_SC_液压偏航制动进油口压力高1","10011_SC_HydraulicYawBrakeInletOilPressureHigh1","6","0.0","5.0","","10011"
"1112","10012_SC_液压偏航制动进油口压力低1","10012_SC_HydraulicYawBrakeInletOilPressureLow1","6","0.0","20.0","","10012"
"1113","10013_SC_液压偏航制动进油口压力高2","10013_SC_HydraulicYawBrakeInletOilPressureHigh2","6","0.0","5.0","","10013"
"1114","10014_SC_液压偏航制动进油口压力低2","10014_SC_HydraulicYawBrakeInletOilPressureLow 2","6","0.0","20.0","","10014"
"1115","10015_SC_叶轮锁压力高1","10015_SC_RotorLockPressureHigh1","0","0.0","5.0","","10015"
"1116","10016_SC_叶轮锁压力低1","10016_SC_RotorLockPressureLow1","0","0.0","15.0","","10016"
"1117","10017_SC_液压系统压力高","10017_SC_HydraulicSystemPressureHigh","6","0.0","5.0","","10017"
"1118","10018_SC_液压系统压力低","10018_SC_HydraulicSystemPressureLow","6","0.0","20.0","","10018"
"1119","10019_SC_叶轮锁储能器压力高1","10019_SC_RotorLockAccumulatorPressureHigh1","0","0.0","5.0","","10019"
"1120","10020_SC_叶轮锁储能器压力低1","10020_SC_RotorLockAccumulatorPressureLow1","0","0.0","20.0","","10020"
"1121","10021_SC_液压油主滤芯堵塞","10021_SC_HydraulicOilFilterError","4","0.0","3600.0","","10021"
"1122","10022_SC_偏航回油滤芯1堵塞","10022_SC_YawFilterError1","4","0.0","3600.0","","10022"
"1123","10023_SC_液压叶轮锁滤芯堵塞","10023_SC_HydraulicRotorLockFilterError","0","0.0","3600.0","","10023"
"1126","10026_SC_液压偏航制动出口压力高2","10026_SC_HydraulicYawBrakeOutletOilPressureHigh2","6","0.0","5.0","","10026"
"1127","10027_SC_液压偏航制动出口压力低2","10027_SC_HydraulicYawBrakeOutletOilPressureLow2","6","0.0","20.0","","10027"
"1128","10028_SC_叶轮锁储能器压力高2","10028_SC_RotorLockAccumulatorPressureHigh2","0","0.0","5.0","","10028"
"1129","10029_SC_叶轮锁储能器压力低2","10029_SC_RotorLockAccumulatorPressureLow2","0","0.0","20.0","","10029"
"1130","10030_SC_叶轮锁压力高2","10030_SC_RotorLockPressureHigh2","0","0.0","5.0","","10030"
"1131","10031_SC_叶轮锁压力低2","10031_SC_RotorLockPressureLow2","0","0.0","20.0","","10031"
"1132","10032_SC_偏航回油滤芯2堵塞","10032_SC_YawFilterError2","4","0.0","3600.0","","10032"
"1133","10033_SC_液压油漏油","10033_SC_HydraulicOilLeaked","6","0.0","1.0","","10033"
"1136","10036_SC_液压主泵1运行压力故障","10036_SC_HydraulicMainPump1OperationPressureError","0","0.0","15.0","","10036"
"1137","10037_SC_液压主泵2运行压力故障","10037_SC_HydraulicMainPump2OperationPressureError","0","0.0","15.0","","10037"
"1138","10038_SC_液压主泵1和2运行压力故障","10038_SC_HydraulicBothMainPumpOperationPressureError","6","0.0","1.0","","10038"
"1139","10039_SC_液压油箱空滤器压力开关故障","10039_SC_HydraulicOilAirPressureHigh","0","0.0","2.0","","10039"
"1140","10040_SC_液压偏航漏油","10040_SC_HydraulicYawLeaked","6","0.0","1.0","","10040"
"1141","10009_SC_液压偏航制动油压高1","10041_SC_HydraulicYawBrakeOilPressureHigh1","6","0.0","5.0","","10041"
"1142","10010_SC_液压偏航制动油压低1","10042_SC_HydraulicYawBrakeOilPressureLow1","6","0.0","20.0","","10042"
"1143","10011_SC_液压偏航制动油压高2","10043_SC_HydraulicYawBrakeOilPressureHigh2","6","0.0","5.0","","10043"
"1144","10012_SC_液压偏航制动油压低2","10044_SC_HydraulicYawBrakeOilPressureLow2","6","0.0","20.0","","10044"
"1145","10045_SC_液压油位变化快","10045_SC_HydraulicOilLevelChangeTooLarge","0","0.0","10.0","","10045"
"1146","10046_SC_液压系统无法保持压力","10046_SC_HydraulicSystemDisableToKeepPressure","4","5.0","2.0","","10046"
"1301","11001_SC_偏航超速","11001_SC_YawOverSpeed","6","5.0","3.0","","11001"
"1302","11002_SC_偏航低速","11002_SC_YawLowSpeed","6","5.0","10.0","","11002"
"1303","11003_SC_偏航解缆","11003_SC_YawUntwist","1","2.0","1.0","","11003"
"1304","11004_SC_偏航方向错误","11004_SC_YawDirectionError","0","3.0","3.0","","11004"
"1305","11005_SC_偏航方向错误次数超限","11005_SC_YawDirectionErrorOverTimes","4","3.0","0.0","","11005"
"1306","11006_SC_偏航刹车磨损","11006_SC_YawBrakeWearAway","4","3.0","2.0","","11006"
"1309","11009_SC_偏航集中润滑油油位低1","11009_SC_YawLubricationOilLevelLow1","0","0.0","10.0","","11009"
"1310","11010_SC_偏航集中润滑堵塞1","11010_SC_YawLubricationClog1","0","0.0","180.0","","11010"
"1311","11011_SC_偏航集中润滑油油位低2","11011_SC_YawLubricationOilLevelLow2","0","0.0","10.0","","11011"
"1312","11012_SC_偏航集中润滑堵塞2","11012_SC_YawLubricationClog2","0","0.0","180.0","","11012"
"1313","11013_SC_叶轮失控偏航","11013_SC_RotorOrPitchErrorYaw","8","4.0","2.0","","11013"
"1314","11014_SC_偏航电磁抱闸磨损超限告警1","11014_SC_YawMotorElectromagneticBrakeWearLimitAlarm1","0","0.0","3.0","","11014"
"1315","11015_SC_偏航电磁抱闸磨损超限告警2","11015_SC_YawMotorElectromagneticBrakeWearLimitAlarm2","0","0.0","3.0","","11015"
"1316","11016_SC_偏航电磁抱闸磨损超限告警3","11016_SC_YawMotorElectromagneticBrakeWearLimitAlarm3","0","0.0","3.0","","11016"
"1317","11017_SC_偏航电磁抱闸磨损超限告警4","11017_SC_YawMotorElectromagneticBrakeWearLimitAlarm3","0","0.0","3.0","","11017"
"1318","11018_SC_偏航电磁抱闸磨损超限告警5","11018_SC_YawMotorElectromagneticBrakeWearLimitAlarm3","0","0.0","3.0","","11018"
"1319","11019_SC_偏航电磁抱闸磨损超限告警6","11019_SC_YawMotorElectromagneticBrakeWearLimitAlarm3","0","0.0","3.0","","11019"
"1320","11020_SC_偏航电磁抱闸磨损超限告警7","11020_SC_YawMotorElectromagneticBrakeWearLimitAlarm3","0","0.0","3.0","","11020"
"1321","11021_SC_偏航电磁抱闸磨损超限告警8","11021_SC_YawMotorElectromagneticBrakeWearLimitAlarm3","0","0.0","3.0","","11021"
"1322","11022_SC_偏航电磁抱闸磨损超限告警9","11022_SC_YawMotorElectromagneticBrakeWearLimitAlarm3","0","0.0","3.0","","11022"
"1323","11023_SC_偏航电磁抱闸磨损超限告警10","11023_SC_YawMotorElectromagneticBrakeWearLimitAlarm3","0","0.0","3.0","","11023"
"1324","11024_SC_偏航电磁抱闸磨损超限告警11","11024_SC_YawMotorElectromagneticBrakeWearLimitAlarm3","0","0.0","3.0","","11024"
"1325","11025_SC_偏航电磁抱闸磨损超限告警12","11025_SC_YawMotorElectromagneticBrakeWearLimitAlarm3","0","0.0","3.0","","11025"
"1326","11026_SC_偏航电磁抱闸磨损超限告警13","11026_SC_YawMotorElectromagneticBrakeWearLimitAlarm3","0","0.0","3.0","","11026"
"1401","12001_SC_机舱内温度传感器故障","12001_SC_NacelleInTemperatureSensorError","0","0.0","2.0","","12001"
"1402","12002_SC_机舱消防系统主报警","12002_SC_NacelleFireSystemMainWarning","4","3.0","2.0","修改故障等级20230415","12002"
"1403","12003_SC_机舱消防系统预报警","12003_SC_NacelleFireSystemEarlyWarning","0","0.0","2.0","","12003"
"1404","12004_SC_机舱消防系统故障","12004_SC_NacelleFireSystemError","0","0.0","2.0","","12004"
"1405","12005_SC_机舱温度高","12005_SC_NacelleTemperatureHigh","4","0.0","60.0","","12005"
"1406","12006_SC_机舱温度低","12006_SC_NacelleTemperatureLow","4","0.0","60.0","","12006"
"1407","12007_SC_机舱空空冷内风机告警","12007_SC_NacelleAirCoolingInsideFanWarning","0","0.0","60.0","","12007"
"1408","12008_SC_机舱空空冷外风机告警","12008_SC_NacelleAirCoolingOutsideFanWarning","0","0.0","60.0","","12008"
"1501","13001_SC_柜体400V雷电保护正常","13001_SC_NacelleCabinetHighVoltage400VLightningOK","0","0.0","0.1","","13001"
"1502","13002_SC_400V空开正常","13002_SC_NacelleCabinetHighVoltage400VMainProtectionOK","6","0.0","0.1","","13002"
"1503","13003_SC_变桨400V供电保护","13003_SC_NacelleCabinetPitch400VProtectionOK","6","0.0","0.1","","13003"
"1504","13004_SC_机舱吊机空开正常","13004_SC_NacelleCabinetCraneMotorProtectionOK","0","0.0","0.1","","13004"
"1505","13005_SC_齿轮油品检测单元电机空开合闸","13005_SC_NacelleCabinetGearboxOilQualityTestPumpProtectionOK","0","0.0","0.1","","13005"
"1506","13006_SC_轮毂防雷保护正常","13006_SC_NacelleCabinetHubLightningOK","0","0.0","0.1","","13006"
"1507","13007_SC_齿轮箱油泵1.1低速","13007_SC_NacelleCabinetGearboxOilPumpLowSpeedProtectionOK1_1","0","0.0","0.1","","13007"
"1508","13008_SC_齿轮箱油泵1.1高速","13008_SC_NacelleCabinetGearboxOilPumpHighSpedProtectionOK1_1","0","0.0","0.1","","13008"
"1509","13009_SC_齿轮箱润滑水冷泵电机1","13009_SC_NacelleCabinetGearboxWaterPumpMotorProtectionOK1","0","0.0","0.1","","13009"
"1510","13010_SC_齿轮箱油泵2.1低速","13010_SC_NacelleCabinetGearboxOilPumpLowSpeedProtectionOK2_1","0","0.0","0.1","","13010"
"1511","13011_SC_离线过滤润滑齿轮泵电机空开合闸","13011_SC_NacelleCabinetGearboxBypassPumpSpeedProtectionOK","4","0.0","0.1","","13011"
"1512","13012_SC_液压油加热器供电正常","13012_SC_NacelleCabinetHydraulicOilHeaterFuseOK","0","0.0","0.1","","13012"
"1513","13013_SC_齿轮润滑油加热器1/2供电正常","13013_SC_NacelleCabinetGearboxLubricationOilHeaterFuseOK1","0","0.0","0.1","","13013"
"1514","13014_SC_齿轮箱油泵2.1高速","13014_SC_NacelleCabinetGearboxOilPumpHighSpedProtectionOK2_1","0","0.0","0.1","","13014"
"1515","13015_SC_齿轮润滑油加热器3/4供电正常","13015_SC_NacelleCabinetGearboxLubricationOilHeaterFuseOK2","0","0.0","0.1","","13015"
"1516","13016_SC_液压齿轮泵电机1空开正常","13016_SC_NacelleCabinetHydraulicPumpMotorProtectionOK1","0","0.0","0.1","","13016"
"1517","13017_SC_航空灯1供电正常","13017_SC_NacelleCabinetAeronauticalLightFuseOK1","0","0.0","0.1","","13017"
"1518","13018_SC_269G1冗余模块冗余功能失效","13018_SC_NacelleCabinet24VRedundancyModuleFailureAlarm","0","0.0","0.1","","13018"
"1519","13019_SC_269G1冗余模块均流功能失效","13019_SC_NacelleCabinet24VRedundancyModuleMeanFlowFailAlarm","4","0.0","5.0","","13019"
"1520","13020_SC_视频系统1供电","13020_SC_NacelleCabinetVideoMonitoringPowerSupplyFuseOK1","0","0.0","0.1","","13020"
"1521","13021_SC_齿轮润滑油加热器5/6供电正常","13021_SC_NacelleCabinetGearboxLubricationOilHeaterFuseOK3","0","0.0","0.1","","13021"
"1522","13022_SC_齿轮润滑油加热器7/8供电正常","13022_SC_NacelleCabinetGearboxLubricationOilHeaterFuseOK4","0","0.0","0.1","","13022"
"1523","13023_SC_齿轮箱水冷泵水冷风扇保护正常","13023_SC_NacelleGearboxCoolerPumpCoolingFanProtectionOK","0","0.0","0.1","","13023"
"1524","13024_SC_CMS系统供电","13024_SC_NacelleCabinetCMSPowerSupplyFuseOK","0","0.0","0.1","","13024"
"1525","13025_SC_齿轮箱水冷风扇1低速空开合闸","13025_SC_NacelleCabinetGearboxWaterFanLowSpeedProtectionOK1","6","0.0","0.1","","13025"
"1526","13026_SC_断路器柜温度传感器供电空开合闸","13026_SC_NacelleCabinetBreakerCabinetHumidityControllFuseOK","6","0.0","0.1","","13026"
"1527","13027_SC_发电机内循环风扇加热器1空开合闸","13027_SC_NacelleCabinetGeneratorRecycleFanHeaterFuseOK","0","0.0","0.1","","13027"
"1528","13028_SC_齿轮箱水冷风扇1高速空开合闸","13028_SC_NacelleCabinetGearboxWaterFanHighSpeedProtectionOK1","6","0.0","0.1","","13028"
"1529","13029_SC_发电机加热器空开合闸","13029_SC_NacelleCabinetGeneratorHeaterFuseOK","0","0.0","0.1","","13029"
"1530","13030_SC_偏航电磁抱闸1空开合闸","13030_SC_NacelleCabinetYawBrakeFuseOK1","4","5.0","0.1","","13030"
"1531","13031_SC_偏航电磁抱闸2空开合闸","13031_SC_NacelleCabinetYawBrakeFuseOK2","4","5.0","0.1","","13031"
"1532","13032_SC_机舱动力柜非UPS线路开关电源开关跳闸","13032_SC_NacelleCabinetNonUPS400VSwitchPowerFuseOK","0","0.0","0.1","","13032"
"1533","13033_SC_机舱动力柜非UPS线路开关电源正常","13033_SC_NacelleCabinetNonUPS400VSwitchPowerNormal","0","0.0","10.0","","13033"
"1534","13034_SC_机舱动力柜柜内UPS充电","13034_SC_NacelleCabinetNonUPS400VCircuitUPS24VDCChargeNormal","0","0.0","0.1","","13034"
"1535","13035_SC_机舱动力柜柜内UPS报警","13035_SC_NacelleCabinetNonUPS400VCircuitUPS24VDCWarning","0","0.0","0.1","","13035"
"1536","13036_SC_机舱动力柜柜内UPS缓冲","13036_SC_NacelleCabinetNonUPS400VCircuitUPS24VDCSupplyNormal","0","0.0","0.1","","13036"
"1537","13037_SC_塔基UPS400VAC供电","13037_SC_NacelleCabinetTowerUPS400VProtectionOK","0","0.0","0.1","","13037"
"1538","13038_SC_塔基UPS400VAC供电防雷保护正常","13038_SC_NacelleCabinetTowerUPS400VLightningOK","0","0.0","0.1","","13038"
"1539","13039_SC_塔基UPS400VAC供电开关电源供电","13039_SC_NacelleCabinetTowerUPS400VSwitchPowerFuseOK","0","0.0","0.1","","13039"
"1540","13040_SC_机舱动力柜柜电话空开合闸","13040_SC_NacelleCabinetTelephoneFuseOk","0","0.0","0.1","","13040"
"1541","13041_SC_机舱动力柜内风扇加热器空开合闸","13041_SC_NacelleCabinetHighVoltageFanOrHeaterFuseOK","0","0.0","0.1","","13041"
"1542","13042_SC_机舱动力柜内湿度控制器空开合闸","13042_SC_NacelleCabinetHighVoltageHumidityControllerFuseOK","0","0.0","0.1","","13042"
"1543","13043_SC_机舱动力柜体温度超限","13043_SC_NacelleCabinetHighVoltageOverTemperature","4","0.0","2.0","","13043"
"1544","13044_SC_机舱动力柜体加热器动作","13044_SC_NacelleCabinetHighVoltageHeaterOK","0","0.0","0.1","","13044"
"1545","13045_SC_机舱动力柜供电空开合闸1","13045_SC_NacelleCabinetHighVoltagePowerFuseOK1","0","0.0","0.1","","13045"
"1546","13046_SC_机舱动力柜供电空开合闸2","13046_SC_NacelleCabinetHighVoltagePowerFuseOK2","0","0.0","0.1","","13046"
"1547","13047_SC_齿轮箱润滑应急泵空开合闸","13047_SC_NacelleCabinetGearboxEmergencyOilPumpProtectionOK","0","0.0","0.1","","13047"
"1548","13048_SC_变频器驱动柜防雷正常","13048_SC_NacelleCabinetConverterCabinetLightningOK","0","0.0","0.1","","13048"
"1549","13049_SC_400V AC供电线路开关电源正常","13049_SC_NacelleCabinetUPS400VSwitchPowerNormal","0","0.0","10.0","","13049"
"1550","13050_SC_机舱动力柜水冷风扇空开合闸","13050_SC_NacelleCabinetHighVoltageCoolingFanFuseOK","0","0.0","0.1","","13050"
"1551","13051_SC_断路器柜1防雷正常","13051_SC_NacelleBreakerCabinetLightning1Ok","0","0.0","0.1","","13051"
"1552","13052_SC_断路器柜2防雷正常","13052_SC_NacelleBreakerCabinetLightning2Ok","0","0.0","0.1","","13052"
"1553","13053_SC_齿轮箱油泵1.2低速","13053_SC_NacelleCabinetGearboxOilPumpLowSpeedProtectionOK1_2","0","0.0","0.1","","13053"
"1554","13054_SC_齿轮箱油泵1.2高速","13054_SC_NacelleCabinetGearboxOilPumpHighSpedProtectionOK1_2","0","0.0","0.1","","13054"
"1555","13055_SC_齿轮箱油泵2.2低速","13055_SC_NacelleCabinetGearboxOilPumpLowSpeedProtectionOK2_2","0","0.0","0.1","","13055"
"1556","13056_SC_齿轮箱油泵2.2高速","13056_SC_NacelleCabinetGearboxOilPumpHighSpedProtectionOK2_2","0","0.0","0.1","","13056"
"1557","13057_SC_液压齿轮泵电机2","13057_SC_NacelleCabinetHydraulicPumpMotorProtectionOK2","0","0.0","0.1","","13057"
"1558","13058_SC_齿轮箱润滑水冷泵地电机2","13058_SC_NacelleCabinetGearboxWaterPumpMotorProtectionOK2","0","0.0","0.1","","13058"
"1559","13059_SC_齿轮箱润滑油加热器5","13059_SC_NacelleCabinetGearboxLubricationOilHeaterFuseOK5","0","0.0","0.1","","13059"
"1560","13060_SC_齿轮箱润滑油加热器6","13060_SC_NacelleCabinetGearboxLubricationOilHeaterFuseOK6","0","0.0","0.1","","13060"
"1561","13061_SC_齿轮箱润滑油加热器7","13061_SC_NacelleCabinetGearboxLubricationOilHeaterFuseOK7","0","0.0","0.1","","13061"
"1562","13062_SC_齿轮箱润滑油加热器8","13062_SC_NacelleCabinetGearboxLubricationOilHeaterFuseOK8","0","0.0","0.1","","13062"
"1563","13063_SC_齿轮箱润滑水冷风扇2低速","13063_SC_NacelleCabinetGearboxWaterFanLowSpeedProtectionOK2","6","0.0","0.1","","13063"
"1564","13064_SC_航空灯2供电正常","13064_SC_NacelleCabinetAeronauticalLightFuseOK2","0","0.0","0.1","","13064"
"1565","13065_SC_齿轮箱润滑水冷风扇2高速","13065_SC_NacelleCabinetGearboxWaterFanHighSpeedProtectionOK2","6","0.0","0.1","","13065"
"1566","13066_SC_低压柜柜体空空冷风扇供电","13066_SC_NacelleCabinetLowVoltageCoolingFanFuseOk","0","0.0","0.1","","13066"
"1567","13067_SC_低压柜开关电源供电400V","13067_SC_NacelleCabinetLowVoltageUPS400VSwitchPowerFuse1OK","0","0.0","0.1","","13067"
"1568","13068_SC_偏航集中润滑供电","13068_SC_NacelleCabinetYawLubricationFuseOK","0","0.0","0.1","","13068"
"1569","13069_SC_SCADA系统24V供电空开合闸","13069_SC_NacelleCabinet_SCADAPowerSupplyFuseOK","0","0.0","0.1","","13069"
"1570","13070_SC_机舱信号柜柜内温湿度控制器供电","13070_SC_NacelleCabinetTemperatureControlPowerSupplyFuseOK","0","0.0","0.1","","13070"
"1571","13071_SC_机舱信号柜非UPS线路开关电源1开关跳闸","13071_SC_NacelleCabinetLowVoltNonUPS400VSwitchPowerFuse1OK","0","0.0","0.1","","13071"
"1572","13072_SC_机舱信号柜非UPS线路开关电源1反馈","13072_SC_NacelleCabinetLowVoltNonUPS400VSwitchPowerNormal1","0","0.0","10.0","","13072"
"1573","13073_SC_机舱信号柜内均流模块1冗余状态失效报警","13073_SC_NacelleCabinetLowVolt24VRedundancyModuleFailAlarm1","0","0.0","0.1","","13073"
"1574","13074_SC_机舱信号柜UPS线路400VAC供电正常","13074_SC_NacelleCabinetLowVoltUPS400VACPowerProtectionOK","0","0.0","0.1","","13074"
"1576","13076_SC_机舱信号柜UPS线路开关电源1异常","13076_SC_NacelleCabinetLowVoltageUPS400VSwitchPowerNormal1","0","0.0","10.0","","13076"
"1577","13077_SC_机舱信号柜柜体温度超限","13077_SC_NacelleCabinetLowVoltageOverTemperature","4","0.0","2.0","","13077"
"1578","13078_SC_机舱信号柜1#UPS电池充电","13078_SC_NacelleCabinetLowVoltNonUPS400VCircUPS24VDCCharge1","0","0.0","0.1","","13078"
"1579","13079_SC_机舱信号柜2#UPS电池充电","13079_SC_NacelleCabinetLowVoltNonUPS400VCircUPS24VDCCharge2","0","0.0","0.1","","13079"
"1580","13080_SC_机舱信号柜2#UPS报警","13080_SC_NacelleCabinetLowVoltNonUPS400VCircUPS24VDCWarning2","0","0.0","0.1","","13080"
"1581","13081_SC_机舱信号柜1#UPS报警","13081_SC_NacelleCabinetLowVoltNonUPS400VCircUPS24VDCWarning1","0","0.0","0.1","","13081"
"1582","13082_SC_机舱信号柜1#UPS缓冲","13082_SC_NacelleCabinetLowVoltNonUPS400VCircUPS24VDCSupply1","0","0.0","0.1","","13082"
"1583","13083_SC_机舱信号柜非UPS线路开关电源2开关跳闸","13083_SC_NacelleCabinetLowVoltNonUPS400VSwitchPower2FuseOk","0","0.0","0.1","","13083"
"1584","13084_SC_机舱信号柜非UPS线路开关电源3开关跳闸","13084_SC_NacelleCabinetLowVoltNonUPS400VSwitchPower3FuseOk","0","0.0","0.1","","13084"
"1585","13085_SC_消防系统供电","13085_SC_NacelleCabinetFireSystemPowerSupplyFuseOK","0","0.0","0.1","","13085"
"1586","13086_SC_机舱信号柜2#UPS缓冲","13086_SC_NacelleCabinetLowVoltNonUPS400VCircUPS24VDCSupply2","0","0.0","0.1","","13086"
"1587","13087_SC_机舱信号柜3#UPS充电","13087_SC_NacelleCabinetLowVoltNonUPS400VCircUPS24VDCCharge3","0","0.0","0.1","","13087"
"1588","13088_SC_机舱信号柜3#UPS报警","13088_SC_NacelleCabinetLowVoltNonUPS400VCircUPS24VDCWarning3","0","0.0","0.1","","13088"
"1589","13089_SC_机舱信号柜3#UPS缓冲","13089_SC_NacelleCabinetLowVoltNonUPS400VCircUPS24VDCSupply3","0","0.0","0.1","","13089"
"1590","13090_SC_机舱信号柜非UPS线路开关电源2异常","13090_SC_NacelleCabinetLowVoltageNonUPS400VSwitchPower2","0","0.0","10.0","","13090"
"1591","13091_SC_机舱信号柜非UPS线路开关电源3异常","13091_SC_NacelleCabinetLowVoltageNonUPS400VSwitchPower3","0","0.0","10.0","","13091"
"1592","13092_SC_机舱信号柜UPS线路开关电源2异常","13092_SC_NacelleCabinetLowVoltageUPS400VSwitchPowerNormal2","0","0.0","10.0","","13092"
"1593","13093_SC_机舱信号柜UPS线路开关电源3异常","13093_SC_NacelleCabinetLowVoltageUPS400VSwitchPowerNormal3","0","0.0","10.0","","13093"
"1594","13094_SC_机舱信号柜UPS线路开关电源2开关跳闸","13094_SC_NacelleCabinetLowVoltageUPS400VSwitchPower2FuseOk","0","0.0","0.1","","13094"
"1595","13095_SC_机舱信号柜UPS线路开关电源3开关跳闸","13095_SC_NacelleCabinetLowVoltageUPS400VSwitchPower3FuseOk","0","0.0","0.1","","13095"
"1596","13096_SC_机舱信号柜400V UPS防雷正常","13096_SC_NacelleCabinetLowVoltageUPS400VLightningOk","0","0.0","0.1","","13096"
"1597","13097_SC_机舱信号柜柜内均流模块1均流功能失效报警","13097_SC_NacelleCabinet24VRedundancyModuleMeanFlowFailAlarm1","4","0.0","5.0","","13097"
"1598","13098_SC_机舱信号柜柜内均流模块2冗余状态失效报警","13098_SC_NacelleCabinetLowVolt24VRedundancyModuleFailAlarm2","0","0.0","0.1","","13098"
"1599","13099_SC_机舱信号柜柜内均流模块2均流功能失效报警","13099_SC_NacelleCabinet24VRedundancyModuleMeanFlowFailAlarm2","4","0.0","5.0","","13099"
"1600","13100_SC_机舱信号柜柜内均流模块3冗余状态失效报警","13100_SC_NacelleCabinetLowVolt24VRedundancyModuleFailAlarm3","0","0.0","0.1","","13100"
"1601","13101_SC_机舱信号柜柜内均流模块3均流功能失效报警","13101_SC_NacelleCabinet24VRedundancyModuleMeanFlowFailAlarm3","4","0.0","5.0","","13101"
"1602","13102_SC_发电机外循环风扇1空开合闸","13102_SC_NacelleConverterCabinetGenOutletCoolingFanFuse1Ok","6","0.0","0.1","","13102"
"1603","13103_SC_发电机外循环风扇2空开合闸","13103_SC_NacelleConverterCabinetGenOutletCoolingFanFuse2Ok","6","0.0","0.1","","13103"
"1604","13104_SC_变频器柜总电源合闸","13104_SC_NacelleConverterCabinet400VFuseOk","6","0.0","0.1","","13104"
"1605","13105_SC_低压柜温度高","13105_SC_NacelleCabinetLowVoltageTemperatureHigh","4","0.0","10.0","","13105"
"1606","13106_SC_低压柜温度低","13106_SC_NacelleCabinetLowVoltageTemperatureLow","4","0.0","10.0","","13106"
"1607","13107_SC_高压柜温度高","13107_SC_NacelleCabinetHighVoltageTemperatureHigh","4","0.0","10.0","","13107"
"1608","13108_SC_高压柜温度低","13108_SC_NacelleCabinetHighVoltageTemperatureLow","4","0.0","10.0","","13108"
"1609","13109_SC_齿轮油发电机润滑泵1空开正常","13109_SC_NacelleCabinetGeneratorOilPumpMotorProtectionOK1","0","0.0","0.1","","13109"
"1610","13110_SC_机舱高压柜空调供电","13110_SC_NacelleCabinetHighVoltageAirConditionerFuseOk","0","0.0","0.1","","13110"
"1611","13111_SC_机舱高压柜内空调故障","13111_SC_NallceCabinetHighVoltageAirConditionerFaultSignal","0","0.0","0.1","","13111"
"1612","13112_SC_发电机外循环风扇2空开正常","13112_SC_NalleceGeneratorOutsideRecycleFan2ProtectionOK","0","0.0","0.1","","13112"
"1613","13113_SC_1#断路器柜230VAC供电","13113_SC_NacelleCabinetBreaker230VPowerSupplyFuseOK1","7","0.0","0.1","","13113"
"1614","13114_SC_机舱动力柜柜内24VDC 汇流排供电XP3开关正常","13114_SC_NacelleCabinetHighVoltage24VPowerFuseOK3","4","0.0","0.1","","13114"
"1615","13115_SC_2#断路器柜230VAC供电正常","13115_SC_NacelleCabinetBreaker230VPowerSupplyFuseOK2","7","0.0","0.1","","13115"
"1616","13116_SC_发电机齿轮油润滑泵2空开正常","13116_SC_NacelleCabinetGeneratorOilPumpMotorProtectionOK2","0","0.0","0.1","","13116"
"1617","13117_SC_机舱低压柜24V供电正常","13117_SC_NacelleCabinetLowVoltage24VPowerFuseOK","4","0.0","0.1","","13117"
"1618","13118_SC_机舱低压柜空调供电","13118_SC_NacelleCabinetLowVoltageAirConditionerFuseOk","0","0.0","0.1","","13118"
"1619","13119_SC_机舱低压柜内空调故障","13119_SC_NallceCabinetLowVoltageAirConditionerFaultSignal","0","0.0","0.1","","13119"
"1620","13120_SC_机舱辅助控制柜230V供电正常","13120_SC_NacelleAuxiliaryCabinet230VPowerSupplyFuseOK","0","0.0","0.1","","13120"
"1621","13121_SC_机舱辅助控制柜内24V供电正常","13121_SC_NacelleAuxiliaryCabinet24VPowerSupplyFuseOK","0","0.0","0.1","","13121"
"1622","13122_SC_发电机绝缘监测系统230V供电正常","13122_SC_NacelleGeneratorInsulationTest230VPowerSupplyFuseOK","0","0.0","0.1","","13122"
"1623","13123_SC_机舱辅助控制柜柜内24V端子排供电正常","13123_SC_NacelleAuxiliaryCabinet24VTerminalPowerSupplyFuseOK","0","0.0","0.1","","13123"
