ID,刹车等级,偏航等级,故障代码,中文描述,英文描述
298,_51,__0,02_03_006,机舱温度超出最大限制,SC_TempNacelleOutOfSpecMAX
299,_51,__0,02_03_007,机舱温度低于最小限制,SC_TempNacelleOutOfSpecMIN
857,__0,__0,02_03_008,机舱变压器温度高,SC_TempTransformer690_400V_high
858,__0,__0,02_03_009,机舱变压器温度低,SC_TempTransformer690_400V_low
859,_51,__0,02_03_010,机舱变压器温度较高,SC_TempTransformer690_400V_MAX
860,_51,__0,02_03_011,机舱变压器温度较低,SC_TempTransformer690_400V_MIN
861,_51,__0,02_03_012,机舱变压器温度重复性故障,SC_RepFaultTempTransformer690_400V
300,_50,__0,02_04_001,主轴超速等级1,SC_RotorOverSpeedLevel1
301,100,__0,02_04_002,主轴超速等级2,SC_RotorOverSpeedLevel2
302,_51,__0,02_04_003,发电机超速等级1,SC_GeneratorOverSpeedLevel1
303,100,__0,02_04_004,发电机超速等级2,SC_GeneratorOverSpeedLevel2
304,100,__0,02_04_005,转速超速等级1重复性故障,SC_RepFaultOverspeedLevel1
305,100,__0,02_04_006,主轴转速与发电机转速偏差过大,SC_RotorSpeedUnequalGeneratorSpeed
306,_51,__0,02_04_007,主轴转速方向错误,SC_RotorDirectionWrong
307,100,__0,02_04_008,发电机转速编码器失效,SC_SensorGeneratorSpeedDefect
308,_51,__0,02_04_009,主轴方向判断传感器1失效,SC_Sensor1RotorDirectionDefect
309,_51,__0,02_04_010,主轴方向判断传感器2失效,SC_Sensor2RotorDirectionDefect
310,__0,__0,02_04_011,主轴零位传感器失效,SC_SensorRotorZeroPositionDefect
311,_51,__0,02_04_012,主轴转速编码器失效,SC_SensorRotorSpeedDefect
312,_51,__0,02_04_013,超速继电器没有脉冲信号,SC_NoImpulsesSensorOverspeedRelay
313,100,100,02_04_014,主轴锁定销锁紧,SC_RotorBoltLocked
314,_30,__0,02_04_015,发电机转速超高速,SC_GeneratorSpeedAtSlipLimit_MAX
315,200,__0,02_04_016,主轴超速等级3,SC_RotorOverSpeedLevel3
316,200,__0,02_04_017,发电机超速等级3,SC_GeneratorOverSpeedLevel3
317,_51,__0,02_04_018,机舱振动Y方向超限1,SC_VibrationYAxisLevel1_PCH
318,100,__0,02_04_019,机舱振动Y方向超限2,SC_VibrationYAxisLevel2_PCH
319,_51,__0,02_04_020,机舱振动Y方向超限重复性故障,SC_RepFaultVibrationYAxisPCH
320,_51,__0,02_04_021,机舱振动Z方向超限1,SC_VibrationZAxisLevel1_PCH
321,100,__0,02_04_022,机舱振动Z方向超限2,SC_VibrationZAxisLevel2_PCH
322,_51,__0,02_04_023,机舱振动Z方向超限重复性故障,SC_RepFaultVibrationZAxisPCH
323,_51,__0,02_04_024,主轴转速增长过快,SC_DeltaLastRotorSpeedTooHigh_OPTION
324,_51,__0,02_04_025,主轴转速增长过快重复性故障,SC_RepFaultDeltaLastRotorSpeedTooHigh_OPTION
325,__0,__0,02_04_026,主轴轴承A温度高,SC_TempRotorBearingA_high
326,__0,__0,02_04_027,主轴轴承A温度低,SC_TempRotorBearingA_low
327,_51,__0,02_04_028,主轴轴承A温度较高,SC_TempRotorBearingA_MAX
328,_50,__0,02_04_029,主轴轴承A温度较低,SC_TempRotorBearingA_MIN
329,_51,__0,02_04_030,主轴轴承A温度较高重复性故障,SC_RepFaultTempRotorBearingA
330,__0,__0,02_04_031,主轴轴承B温度高,SC_TempRotorBearingB_high
331,__0,__0,02_04_032,主轴轴承B温度低,SC_TempRotorBearingB_low
332,_51,__0,02_04_033,主轴轴承B温度较高,SC_TempRotorBearingB_MAX
333,_50,__0,02_04_034,主轴轴承B温度较低,SC_TempRotorBearingB_MIN
334,_51,__0,02_04_035,主轴轴承B温度较高重复性故障,SC_RepFaultTempRotorBearingB
335,__0,__0,02_04_036,主轴轴承缺少润滑脂,SC_LackOfFatRotorBearing
336,__0,__0,02_04_037,主轴轴承没有润滑脂,SC_NoLubricationRotorBearing
339,__0,__0,02_04_101,主轴锁定销解锁,OC_RotorBoltUnlocked
340,__0,__0,02_04_102,发电机转速低于脱网转速,OC_GeneratorSpeedBelowSlipLimit_MIN
341,__0,__0,02_04_103,发电机转速低于刹车转速,OC_GeneratorSpeedBelowMainBrakeON
342,__0,__0,02_05_001,机舱齿轮箱油滤芯报警,SC_GearOilFilterClogged_Warning
343,__0,__0,02_05_002,机舱齿轮箱油滤芯重复性报警,SC_RepFaultGearOilFilterClogged
345,__0,__0,02_05_004,机舱齿轮箱油位报警,SC_GearOilLevel_Warning
346,_51,__0,02_05_005,机舱齿轮箱油位停机,SC_GearOilLevel_STOP
347,_51,__0,02_05_006,机舱齿轮箱油位重复性报警,SC_RepFaultGearOilLevel
348,__0,__0,02_05_007,机舱齿轮箱水压过低,SC_PressureGearCoolingWater_MIN
350,_51,__0,02_05_009,机舱齿轮箱油压过低停机,SC_GearOilPressure_MIN_STOP
351,_51,__0,02_05_010,机舱齿轮箱油压过低停机重复性故障,SC_RepFaultGearOilPressure_STOP
356,__0,__0,02_05_015,机舱齿轮箱油温高,SC_Temp1GearOil_high
357,__0,__0,02_05_016,机舱齿轮箱油温低,SC_Temp1GearOil_low
358,_51,__0,02_05_017,机舱齿轮箱油温较高,SC_Temp1GearOil_MAX
359,_50,__0,02_05_018,机舱齿轮箱油温较低,SC_Temp1GearOil_MIN
368,_50,__0,02_05_027,机舱齿轮箱油温重复性故障,SC_RepFaultTempGearOil
369,__0,__0,02_05_028,机舱齿轮箱驱动端轴承温度高,SC_TempGearBearingDE_high
370,__0,__0,02_05_029,机舱齿轮箱驱动端轴承温度低,SC_TempGearBearingDE_low
371,_51,__0,02_05_030,机舱齿轮箱驱动端轴承温度较高,SC_TempGearBearingDE_MAX
372,_50,__0,02_05_031,机舱齿轮箱驱动端轴承温度较低,SC_TempGearBearingDE_MIN
373,_50,__0,02_05_032,机舱齿轮箱驱动端轴承温度重复性故障,SC_RepFaultTempGearBearingDE
374,__0,__0,02_05_033,机舱齿轮箱非驱动端轴承温度高,SC_TempGearBearingNDE_high
375,__0,__0,02_05_034,机舱齿轮箱非驱动端轴承温度低,SC_TempGearBearingNDE_low
376,_51,__0,02_05_035,机舱齿轮箱非驱动端轴承温度较高,SC_TempGearBearingNDE_MAX
377,_50,__0,02_05_036,机舱齿轮箱非驱动端轴承温度较低,SC_TempGearBearingNDE_MIN
378,_50,__0,02_05_037,机舱齿轮箱非驱动端轴承温度重复性故障,SC_RepFaultTempGearBearingNDE
380,__0,__0,02_05_039,机舱油加热系统的PT100故障,SC_FaultInputPT100_GearOilHeaterSystem
845,__0,__0,02_05_040,机舱油加热系统油热空开跳闸,SC_GearOilHeaterSystemOilHot_Switch
846,__0,__0,02_05_041,机舱油加热系统压力过低,SC_GearOilHeaterSystemPressure_MIN
381,__0,__0,02_05_100,不监视机舱齿轮箱油滤芯,OC_NoMonitoringOfGearOilFilter
387,_50,__0,02_07_002,主轴刹车盘磨损警告,SC_RotorBrakePadsWorn_Warning
388,100,__0,02_07_003,主轴刹车盘磨损停机,SC_RotorBrakePadsWorn_STOP
389,_51,__0,02_07_004,主轴刹车不松开状态,SC_RotorBrakeNotOpen
390,100,__0,02_07_005,主轴刹车处于抱闸状态,SC_RotorBrakeClosed
393,__0,__0,02_07_100,主轴允许刹车,OC_ExternalBox_RotorBrakeCanBeClosed
394,100,__0,02_08_001,发电机功率10分钟平均值大于额定值,SC_GenMaxPower10min
395,100,__0,02_08_002,发电机功率30秒钟平均值大于设定值,SC_GenMaxPower30s
396,100,__0,02_08_003,发电机功率1秒钟平均值大于设定值,SC_GenMaxPower1s
397,100,__0,02_08_004,发电机功率10分钟平均值重复性故障,SC_RepFaultGenMaxPower10min
398,200,__0,02_08_005,发电机功率1秒钟平均值大于设定值,SC_GenMaxPower1sOpenSafetyChain
399,__0,__0,02_08_006,发电机碳刷磨损报警,SC_GeneratorBrushesWaste_Warning
400,_50,__0,02_08_007,发电机碳刷磨损停机,SC_GeneratorBrushesWaste_STOP
401,__0,__0,02_08_008,发电机防雷器保护失效,SC_GeneratorNoLightningProtection_Warning
404,_51,__0,02_08_011,发电机转速的瞬间变化过快故障,SC_DeltaLastGenSpeedTooHigh_OPTION
405,_51,__0,02_08_012,发电机转速的瞬间变化过快重复性故障,SC_RepFaultDeltaLastGenSpeedTooHigh_OPTION
406,__0,__0,02_08_013,发电机U相定子温度高,SC_TempGenStatorU_high
407,__0,__0,02_08_014,发电机U相定子温度低,SC_TempGenStatorU_low
408,_50,__0,02_08_015,发电机U相定子温度较高,SC_TempGenStatorU_MAX
409,_50,__0,02_08_016,发电机U相定子温度较低,SC_TempGenStatorU_MIN
410,__0,__0,02_08_017,发电机V相定子温度高,SC_TempGenStatorV_high
411,__0,__0,02_08_018,发电机V相定子温度低,SC_TempGenStatorV_low
412,_50,__0,02_08_019,发电机V相定子温度较高,SC_TempGenStatorV_MAX
413,_50,__0,02_08_020,发电机V相定子温度较低,SC_TempGenStatorV_MIN
414,__0,__0,02_08_021,发电机W相定子温度高,SC_TempGenStatorW_high
415,__0,__0,02_08_022,发电机W相定子温度低,SC_TempGenStatorW_low
416,_50,__0,02_08_023,发电机W相定子温度较高,SC_TempGenStatorW_MAX
417,_50,__0,02_08_024,发电机W相定子温度较低,SC_TempGenStatorW_MIN
418,_50,__0,02_08_025,发电机定子温度重复性故障,SC_RepFaultTempGenStator
419,__0,__0,02_08_026,发电机驱动端轴承温度高,SC_TempGenBearingDE_high
420,__0,__0,02_08_027,发电机驱动端轴承温度低,SC_TempGenBearingDE_low
421,_51,__0,02_08_028,发电机驱动端轴承温度较高,SC_TempGenBearingDE_MAX
422,_50,__0,02_08_029,发电机驱动端轴承温度较低,SC_TempGenBearingDE_MIN
423,__0,__0,02_08_030,发电机非驱动端轴承温度高,SC_TempGenBearingNDE_high
424,__0,__0,02_08_031,发电机非驱动端轴承温度低,SC_TempGenBearingNDE_low
425,_51,__0,02_08_032,发电机非驱动端轴承温度较高,SC_TempGenBearingNDE_MAX
426,_50,__0,02_08_033,发电机非驱动端轴承温度较低,SC_TempGenBearingNDE_MIN
427,_50,__0,02_08_034,发电机轴承温度重复性故障,SC_RepFaultTempGenBearing
428,__0,__0,02_08_035,发电机冷却空气温度高,SC_TempGenCoolingAir_high
429,__0,__0,02_08_036,发电机冷却空气温度低,SC_TempGenCoolingAir_low
430,_50,__0,02_08_037,发电机冷却空气温度较高,SC_TempGenCoolingAir_MAX
431,_50,__0,02_08_038,发电机冷却空气温度较低,SC_TempGenCoolingAir_MIN
432,_50,__0,02_08_039,发电机冷却空气温度重复性故障,SC_RepFaultTempGenCoolingAir
433,100,__0,02_08_040,发电机最大功率30秒平均值重复性故障,SC_RepFaultGenMaxPower30s
434,100,__0,02_08_041,发电机最大功率1秒平均值重复性故障,SC_RepFaultGenMaxPower1s
436,_51,__0,02_09_001,液压系统压力过小报警,SC_HydrPressureSystemMin_Warning
437,100,100,02_09_002,液压系统压力过小报警重复性故障,SC_RepFaultHydrSystemPressureMIN
438,100,100,02_09_003,液压系统压力过小停机,SC_HydrPressureSystemMin_STOP
439,_51,__0,02_09_004,液压系统主轴刹车压力过小报警,SC_HydrPressureRotorBrakeMin_Warning
440,100,100,02_09_005,液压系统主轴刹车压力过小报警重复性故障,SC_RepFaultHydrPressureRotorBrakeMin
448,__0,_30,02_09_013,液压站油位过低,SC_HydrOilLevel_MIN
449,_50,_30,02_09_014,液压站油位过低停机,SC_HydrOilLevel_STOP
450,__0,_30,02_09_015,液压站油位过低重复性故障,SC_RepFault_HydrOilLevel_MIN
451,_50,_30,02_09_016,液压站油温过高报警,SC_HydrOilHot_Switch
452,__0,__0,02_09_017,液压站油泵启动时间过长,SC_HydrPumpTime_MAX
453,_51,__0,02_09_018,液压站油泵启动时间过长重复性故障,SC_RepFault_HydrPumpTime_MAX
454,__0,__0,02_09_019,液压站油泵启动时间过短,SC_HydrPumpTime_MIN
455,_51,__0,02_09_020,液压站油泵启动时间过短重复性故障,SC_RepFault_HydrPumpTime_MIN
456,_51,__0,02_09_021,液压站油泵启动次数过多,SC_HydrPumpTooManyStarts
463,_51,__0,02_09_028,液压站油温过高报警重复性故障,SC_RepFault_TempHydrOil
473,__0,100,02_10_006,电机启动时偏航刹车锁定重复性故障,SC_RepFault_YawBrakeLockedWhileMotorsON
474,__0,__0,02_10_007,校准机舱对北角度,SC_CalibrateNorthPositionNacelle
475,__0,100,02_10_008,偏航速度过慢,SC_YawSpeedTooSlow
476,__0,100,02_10_009,偏航速度过慢重复性故障,SC_RepFault_YawSpeedTooSlow
477,__0,100,02_10_010,偏航电机运转时间过长,SC_YawMotorTimeTooLong
478,_51,__0,02_10_011,偏航因受阻而停止,SC_STOP_ForBlockedYaw
479,__0,__0,02_10_012,偏航编码器失效,SC_YawPositionEncoderFault
480,_51,__0,02_10_013,风机位置与风向偏差过大,SC_YawAndWinddirDeviationTooHigh
481,__0,__0,02_10_014,偏航刹车盘磨损警告,SC_YawBrakePadsWorn_Warning
482,_51,__0,02_10_015,偏航刹车盘磨损停机,SC_YawBrakePadsWorn_STOP
483,__0,__0,02_10_016,偏航轴承缺乏润滑油,SC_LackOfFatYawBearing
484,__0,__0,02_10_017,无偏航轴承润滑油,SC_NoLubricationYawBearing
486,__0,__0,02_10_100,风机与风向夹角超出限定值,OC_YawMisalignmentForStartProcedure
487,__0,_30,02_10_101,偏航手动操作,SC_YawManualOperation
488,_51,_10,02_10_102,偏航解缆动作激活,OC_RewindingLoopCablesActive
489,__0,__5,02_10_103,偏航解缆动作处于准备状态,OC_RewindingLoopCablesInStandby
492,__0,__0,02_11_001,风向仪1的信号保持不变,SC_ConstantSignalVane1
493,__0,__0,02_11_002,风向仪2的信号保持不变,SC_ConstantSignalVane2
494,100,100,02_11_003,风向仪1和2的信号保持不变,SC_ConstantSignalVane1and2
495,__0,__0,02_11_004,风向仪1和2的偏差大报警,SC_DifferenceVanesHigh_Warning
496,__0,__0,02_11_005,风向仪1和2的偏差大而且温度低报警,SC_DifferenceVanesAndTempMin_Warning
497,100,__0,02_11_006,风向仪1和2失效而且温度低,SC_Vane1and2defectAndTempMin
498,_50,100,02_11_007,风向仪1和2的偏差大停机,SC_DifferenceVanesHigh_STOP
499,__0,__0,02_11_008,风速仪1的信号保持不变,SC_ConstantSignalAnemometer1
500,__0,__0,02_11_009,风速仪2的信号保持不变,SC_ConstantSignalAnemometer2
501,_51,__0,02_11_010,风速仪1和2的信号保持不变,SC_ConstantSignalAnemometer1and2
502,__0,__0,02_11_011,风速仪1和2的偏差大报警,SC_DifferenceAnemometer_Warning
503,__0,100,02_11_012,风速仪偏差大及温度低报警,SC_DifferenceAnemometerAndTempMin_Warning
504,100,100,02_11_013,2个风速仪保持不变及温度低,SC_Anemometer1and2defectAndTempMin
505,__0,__0,02_11_014,风速与功率关系故障及温度低报警,SC_RelationWindToPowerAndTempMin_Warning
506,_51,__0,02_11_015,户外温度超过限制值,SC_TempOutdoorOutOfSpecification
507,__0,__0,02_11_016,户外温度高,SC_TempOutdoor_high
508,__0,__0,02_11_017,户外温度低,SC_TempOutdoor_low
509,_51,__0,02_11_018,户外温度较高,SC_TempOutdoor_MAX
510,_51,__0,02_11_019,户外温度较低,SC_TempOutdoor_MIN
511,__0,__0,02_11_020,户外温度重复性故障,SC_RepFault_TempOutdoor
512,_50,__0,02_11_021,风速与功率不匹配,SC_WindAndPowerDoNotCorrespond
513,_50,__0,02_11_022,风速与功率不匹配重复性故障,SC_RepFault_WindAndPowerDoNotCorrespond
515,_51,__0,02_11_101,风速1秒值过大停机,SC_ShutDownWindspeed_1sMax
516,_51,__0,02_11_102,风速30秒值过大停机,SC_ShutDownWindspeed30sMax
517,_51,__0,02_11_103,风速10分钟值过大停机,SC_ShutDownWindspeed_10minMax
518,_51,__0,02_11_104,待风状态,SC_WaitingForWind
519,__0,__0,02_11_105,风速达到激活偏航的等级,OC_MeanWindSpeedAboveActivatingYaw
520,__0,__0,02_11_106,风机达到风机重启的等级,OC_MeanWindSpeedAboveRestartMaxWind
521,__0,__0,02_11_107,不对风速进行检测,OC_NoMonitoringWindSensors
522,__0,__0,02_11_108,风向仪1屏蔽,OC_WindVane1_OFF
523,__0,__0,02_11_109,风向仪2屏蔽,OC_WindVane2_OFF
524,__0,__0,02_11_110,风速仪1屏蔽,OC_Anemometer1_OFF
525,__0,__0,02_11_111,风速仪2屏蔽,OC_Anemometer2_OFF
526,__0,__0,02_11_112,风速超过解缆等级,OC_MeanWindSpeedAboveCableUnwindingOK
527,__0,__0,02_11_113,风速过大不能进行手动操作模式,SC_WindSpeedToHighForManualMode
528,__0,__0,02_11_114,风速过大不能进行自检模式,OC_MeanWindSpeedAboveStartSelftest
529,_51,__0,02_12_001,机舱柜或塔基柜手动停机按钮按下,SC_ManualSTOP_NacelleOrTowerBase
530,__0,_30,02_12_002,机舱柜机组维修或变桨检修模式,SC_TurbineInServiceNacelle
531,__0,_30,02_12_003,偏航软件手动模式,SC_ManualYawBySoftware
532,__0,__0,02_12_004,安全链测试超速继电器,SC_SafetyChainTestOverspeedRelay
533,__0,__0,02_12_006,机舱柜或塔基柜的复位状态代码按钮按下,SC_ResetStatusCodesFromNacelleOrTowerBase
535,__0,__0,02_12_101,机舱柜或塔基柜的复位状态代码按钮按下,SC_ResetStatusCodesFromNacelleOrTowerBase
536,__0,__0,02_12_102,机舱柜或塔基柜的快速启动按钮按下,OC_QuickStartActivatedNacelleOrTowerBase
539,__0,__0,02_13_001,机舱航空灯1故障,SC_FaultHazardBeacon1
540,__0,__0,02_13_002,机舱航空灯2故障,SC_FaultHazardBeacon2
541,_50,__0,02_13_003,因除冰传感器信号导致停机,SC_ShutDownByIceSensor
542,_51,__0,02_13_004,沙尘暴模式启动,SC_SandStormComingMode
544,210,100,03_01_001,塔基柜急停按钮按下,SC_SafetyChainEmergencySTOP_TowerBase
545,200,100,03_01_002,安全链系统运行故障,SC_SafetyChainNoStatusOKSignalByTwinSAFE
546,200,100,03_01_003,安全链链接故障,SC_ConnectionFaultTwinSAFE
547,200,100,03_01_004,变频器触发安全链断开,SC_SafetyChainOpenedByConverter
548,199,100,03_01_005,塔基柜安全链系统没有24V电源反馈,SC_TowerNoFeedBack24VOutFromTwinSAFE
549,__0,__0,03_01_006,塔基柜安全链复位按钮按下,SC_SafetyChainResetFromTowerBase
550,__0,__0,03_01_007,远程软件或者HMI界面复位安全链按键按下,SC_SafetyChainResetRemoteOrTargetVISU
551,199,100,03_01_008,安全链没有OK信号(安全链断开),SC_SafetyChainNoStatusOKSignal
552,_51,_20,03_02_001,塔基柜温度超限,SC_TempTowerBaseCabinetOutOfSpec
553,_51,_20,03_02_002,塔基柜供电给PLC的UPS(12G3)报警,SC_UPSErrorTowerBasePLCandCOM
554,_51,_20,03_02_003,塔基柜通用供电的UPS(12G7)报警,SC_UPSErrorGeneralSupply
555,198,100,03_02_004,塔基柜动力电源供给正常UPS处于电池模式故障,SC_TowerNHFuse690VMAINSupply
556,198,100,03_02_005,塔基柜动力电源供给正常2个UPS处于电池模式故障,SC_TowerMainOnLoadIsolatorIncomming3x690V
557,__0,__0,03_02_006,塔基柜的防雷器保护不正常,SC_NoLightningProtectionTowerBase
558,100,100,03_02_007,4Q5分闸状态,SC_TowerFuse3x400VAC
559,_51,__0,03_02_008,12G3处于电池模式,SC_TowerUPS_PLCandCOM_BatteryMode
560,__0,__0,03_02_009,塔基柜的柜内空调报警,SC_TowerFuse230VThermostat
561,100,100,03_02_010,KL6904电源模块出现故障,SC_TowerOL24VDigOut
562,__0,__0,03_02_011,塔基柜加热器空开10F7分闸状态,SC_TowerFuse230VCabHeating
563,100,100,03_02_012,塔基柜24V过载输入(112DI1的4、6引脚),SC_TowerOL24VDigIn
564,199,__0,03_02_013,塔基柜空开51F4分闸状态,SC_TowerFuse24V_MediaConvPlusBCforTwinSAFE
565,__0,__0,03_02_014,塔基柜风扇马达保护开关18Q2分闸状态,SC_MotorProtection_TowerFan
566,_51,__0,03_02_015,通用UPS(12G7)电池模式,SC_TowerUPS_General_BatteryMode
567,__0,__0,03_02_016,塔基柜指示灯输出电源模块失电或短路故障,SC_TowerOL24VDevicesCabinetLamps
568,100,__0,03_02_017,变频器230V电源跳闸,SC_TowerConverterAC_230V
569,_51,__0,03_02_018,塔基柜温控器+24V电源空开(50F1)分闸状态,SC_TowerFuse24VTempOutOfSpec
570,_51,__0,03_02_019,690V总电源跳闸,SC_TowerFuse690VIncommingSupply
571,_51,__0,03_02_020,690V主断路器分闸,SC_TowerMCB690VnotClosed
572,100,__0,03_02_021,塔基柜24V电网监控电源失电,SC_TowerOL24VDevicesGridMonitoringKL3403
574,__0,__0,03_02_023,塔基温度PT100失效故障,SC_FaultInputPT100_TowerBase
575,__0,__0,03_02_024,塔基柜温度高,SC_TempCabinetTowerBase_high
576,__0,__0,03_02_025,塔基柜温度低,SC_TempCabinetTowerBase_low
577,_50,__0,03_02_026,塔基柜温度较高,SC_TempCabinetTowerBase_MAX
578,_50,__0,03_02_027,塔基柜温度较低,SC_TempCabinetTowerBase_MIN
579,__0,__0,03_02_028,塔基柜温度重复性故障,SC_RepFaultTempCabinetTowerBase
580,198,__0,03_02_029,变频器230VUPS电池模式激活,SC_UPSError230VConverter_AccuModeActive
581,__0,__0,03_02_030,变频器230VUPS故障,SC_UPSError230VConverter
585,__0,__0,03_02_034,塔基柜面板手动旋钮24V电源失电,SC_TowerOL24VManualSwitches
586,100,__0,03_02_035,塔基柜箱变24V信号电源失电,SC_TowerOL24VDevicesMVStation
587,__0,__0,03_02_036,塔筒门报警,SC_TowerDoorAlarm
589,100,100,03_02_038,塔基柜24V开关电源的400V空开12Q1分闸状态,SC_TowerFuse400VAC_24VDC
590,__0,__0,03_02_039,塔基柜温度点PT100失效故障,SC_FaultInputPT100_TempCabinetTowerBase
847,__0,__0,03_02_040,塔基环境温度超出范围,SC_TowerFuse24VTowerTempOutOfSpec
848,__0,__0,03_02_041,塔基加热器空开跳闸,SC_TowerFuseHeaterTower
849,__0,__0,03_02_042,塔基加热器风扇空开跳闸,SC_TowerFuseHeaterFanTower
591,__0,__0,03_02_100,塔基柜加热器启动,OC_TowerHeaterCabinet_ON
592,__0,__0,03_02_101,塔基加热器启动,OC_TowerHeaterTowerON
595,__0,__0,03_03_001,塔基温度高,SC_TempTowerBase_high
596,__0,__0,03_03_002,塔基温度低,SC_TempTowerBase_low
597,__0,__0,03_03_003,塔基温度较高,SC_TempTowerBase_MAX
598,_50,__0,03_03_004,塔基温度较低,SC_TempTowerBase_MIN
599,__0,__0,03_03_005,塔基温度高于限定范围,SC_TempTowerBaseOutOfSpecMAX
826,__0,__0,03_03_006,塔基温度低于限定范围,TempTowerBaseOutOfSpecMIN
827,_50,__0,03_03_007,塔基温度重复性故障,SC_RepFaultTempTowerBase
600,__0,__0,03_03_101,塔基风扇运行,OC_FanTowerBase_ON
602,198,__0,03_04_001,通过外部监测系统判断电网故障(可选),SC_GridFailureByExternalGridMonitoringDevice_OPTION
603,100,__0,03_04_002,电网L1相电压偏高,SC_GridVoltageL1_high
604,100,__0,03_04_003,电网L2相电压偏高,SC_GridVoltageL2_high
605,100,__0,03_04_004,电网L3相电压偏高,SC_GridVoltageL3_high
606,100,__0,03_04_005,电网电压偏高重复性故障,SC_RepFaultGridVoltageHigh
607,199,100,03_04_006,电网L1相电压偏低,SC_GridVoltageL1_low
608,199,100,03_04_007,电网L2相电压偏低,SC_GridVoltageL2_low
609,199,100,03_04_008,电网L3相电压偏低,SC_GridVoltageL3_low
610,199,100,03_04_009,电网电压偏低重复性故障,SC_RepFaultGridVoltageLow
611,198,__0,03_04_010,电网频率偏高故障,SC_GridFrequencyHigh
612,198,__0,03_04_011,电网频率偏低故障,SC_GridFrequencyLow
613,199,__0,03_04_012,电网频率重复性故障,SC_RepFaultGridFrequency
619,198,100,03_04_018,电网三相电压失效,SC_GridLost_PowerFailure
620,199,__0,03_04_019,电网外部监测器失效重复性故障,SC_RepFaultGridFailureByExternalGridMonitoringDevice
866,199,__0,03_04_020,低电压穿越过程中电压L1相超出范围,SC_VoltageL1OutOfRange_RideThrough
867,199,__0,03_04_021,低电压穿越过程中电压L2相超出范围,SC_VoltageL2OutOfRange_RideThrough
868,199,__0,03_04_022,低电压穿越过程中电压L3相超出范围,SC_VoltageL3OutOfRange_RideThrough
869,199,__0,03_04_023,低电压穿越超时,SC_LVRT_TimeOut
838,__0,__0,03_04_100,电网故障恢复,OC_ReturnOfGrid
721,__0,__0,03_06_001,机组刹车程序激活,OC_BrakeProgramActive
724,__0,__0,03_06_004,统计系统中的记录错误,SC_LogErrorStatistics
725,__0,__0,03_06_005,记录错误描述值错误,SC_LogErrorSummaryValues
726,__0,__0,03_06_006,用户登录记录故障,SC_LogErrorUserAccess
727,__0,__0,03_06_007,NovRAM写读初始化大小故障,SC_FaultNOVRAM_IniReadWriteSize
728,100,__0,03_06_008,运算中除数为0故障,SC_DivisionByZero
729,__0,__0,03_06_009,PLC任务主循环时间超限,SC_MaxCycleTimeMainPLCTask
730,_51,__0,03_06_010,电网测量模块初始化故障,SC_ErrorInitializationKL3403
731,__0,__0,03_06_011,高速记录曲线故障,SC_LogErrorTraces
732,__0,__0,03_06_012,命令任务循环时间超限,SC_MaxCycleTimeCOMTask
733,__0,__0,03_06_013,系统任务循环时间超限重复次数多,SC_RepFaultMaxCycleTime_FastOrCOMTask
734,100,__0,03_06_014,变频器CANbus总线受到干扰,SC_InterruptionCANbusConverter
735,100,__0,03_06_015,变频器CANbus总线受到干扰重复性故障,SC_RepFaultCANbusConverter
736,198,__0,03_06_016,变桨的Profibus通讯故障,SC_FaultPofibusPitch
737,198,__0,03_06_017,变频器EL6751通讯模块错误,SC_CANopen_ConverterValidData_Error
738,100,__0,03_06_018,PLC系统的EtherCAT总线受到干扰,SC_InterruptionEtherCAT
739,100,__0,03_06_019,PLC系统的EtherCAT总线受到干扰重复性故障,SC_RepFaultEtherCAT
740,__0,__0,03_06_020,CX1020模块的硬盘溢出故障,SC_CX1020_HarddiscOverflow
741,__0,__0,03_06_021,系统记录功率曲线故障,SC_LogErrorPowerCurve
742,__0,__0,03_06_022,系统记录状态代码的缓存故障,SC_LogErrorRingBufferStatuscodes
743,__0,__0,03_06_023,系统记录10分钟平均值故障,SC_LogError10minValues
744,__0,__0,03_06_024,机舱BK1120故障,SC_NoCOM_BK1120Nacelle
745,__0,__0,03_06_025,机舱EK1100故障,SC_NoCOM_EK1100Nacelle
746,__0,__0,03_06_026,塔基BK1120故障,SC_NoCOM_BK1120TowerBase
747,__0,__0,03_06_027,系统没有风场通讯的心跳信号,SC_NoHeartBeat_WindparkCOM
748,__0,__0,03_06_028,塔基柜的EK1110没有通讯信号,SC_NoCOM_EK1100TowerBase
749,__0,__0,03_06_029,机舱显示故障信息,SC_ErrorDisplayNacelle_SumInfo
750,__0,__0,03_06_030,塔基显示总计故障,SC_ErrorDisplayTowerBase_SumInfo
751,100,__0,03_06_031,风机的BK和EK总线出现重复性故障,SC_RepFault_COM_BKEK_TurbineInternal
752,__0,__0,03_06_101,变桨的状态代码被屏蔽,OC_SCPitchOFF
753,__0,__0,03_06_102,驱动链的状态代码被屏蔽,OC_SCDriveTrainOFF
754,__0,__0,03_06_103,齿轮箱的状态代码被屏蔽,OC_SCGearboxOFF
755,__0,__0,03_06_104,主轴刹车的状态代码被屏蔽,OC_SCRotorBrakeOFF
756,__0,__0,03_06_105,发电机的状态代码被屏蔽,OC_SCGeneratorOFF
757,__0,__0,03_06_106,液压站的状态代码被屏蔽,OC_SCHydraulicsOFF
758,__0,__0,03_06_107,偏航的状态代码被屏蔽,OC_SCYawOFF
